Country_name,ISO3,Region,CPI_2022
Saudi Arabia,SAU,MENA,51
Senegal,SEN,SSA,43
Serbia,SRB,ECA,36
Seychelles,SYC,SSA,70
Sierra Leone,SLE,SSA,34
Singapore,SGP,AP,83
Slovakia,SVK,WE/EU,53
Slovenia,SVN,WE/EU,56
Solomon Islands,SLB,AP,42
Somalia,SOM,SSA,12
South Africa,ZAF,SSA,43
South Sudan,SSD,SSA,13
Spain,ESP,WE/EU,60
Sri Lanka,LKA,AP,36
Sudan,SDN,SSA,22
Suriname,SUR,AME,40
Sweden,SWE,WE/EU,83
Switzerland,CHE,WE/EU,82
Syria,SYR,MENA,13
Taiwan,TWN,AP,68
Tajikistan,TJK,ECA,24
Tanzania,TZA,SSA,38
Thailand,THA,AP,36
Timor-Leste,TLS,AP,42
Togo,TGO,SSA,30
Trinidad and Tobago,TTO,AME,42
Tunisia,TUN,MENA,40
Turkey,TUR,ECA,36
Turkmenistan,TKM,ECA,19
Uganda,UGA,SSA,26
Ukraine,UKR,ECA,33
United Arab Emirates,ARE,MENA,67
United Kingdom,GBR,WE/EU,73
US,USA,AME,69
Uruguay,URY,AME,74
Uzbekistan,UZB,ECA,31
Vanuatu,VUT,AP,48
Venezuela,VEN,AME,14
Vietnam,VNM,AP,42
Yemen,YEM,MENA,16
Zambia,ZMB,SSA,33
Zimbabwe,ZWE,SSA,23
